Person,Question,Encoding,Method,Preference,Response
7,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
7,2,"A1 tacotron, A2 baseline",tacotron,equal,0
7,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
7,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
7,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
7,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
7,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
7,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
7,9,"A1 tacotron, A2 baseline",tacotron,A2 better,0
7,10,"A1 tacotron, A2 baseline",tacotron,A1 better,1
7,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
8,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
8,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
8,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
8,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
8,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
8,5,"A1 tacotron, A2 baseline",tacotron,equal,0
8,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
8,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
8,8,"A1 tacotron, A2 baseline",tacotron,equal,0
8,9,"A1 tacotron, A2 baseline",tacotron,equal,0
8,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
8,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
9,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
9,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
9,2,"A1 tacotron, A2 baseline",tacotron,equal,0
9,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
9,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
9,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
9,6,"A1 tacotron, A2 baseline",tacotron,equal,0
9,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
9,8,"A1 tacotron, A2 baseline",tacotron,equal,0
9,9,"A1 tacotron, A2 baseline",tacotron,equal,0
9,10,"A1 tacotron, A2 baseline",tacotron,equal,0
9,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
10,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
10,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
10,2,"A1 tacotron, A2 baseline",tacotron,equal,0
10,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
10,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
10,5,"A1 tacotron, A2 baseline",tacotron,equal,0
10,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
10,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
10,8,"A1 tacotron, A2 baseline",tacotron,equal,0
10,9,"A1 tacotron, A2 baseline",tacotron,equal,0
10,10,"A1 tacotron, A2 baseline",tacotron,equal,0
10,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
11,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
11,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
11,2,"A1 tacotron, A2 baseline",tacotron,equal,0
11,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
11,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
11,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
11,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
11,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
11,8,"A1 tacotron, A2 baseline",tacotron,equal,0
11,9,"A1 tacotron, A2 baseline",tacotron,A2 better,0
11,10,"A1 tacotron, A2 baseline",tacotron,A1 better,1
11,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
12,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
12,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
12,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
12,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
12,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
12,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
12,6,"A1 tacotron, A2 baseline",tacotron,equal,0
12,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
12,8,"A1 tacotron, A2 baseline",tacotron,equal,0
12,9,"A1 tacotron, A2 baseline",tacotron,equal,0
12,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
12,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
13,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
13,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
13,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
13,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
13,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
13,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
13,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
13,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
13,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
13,9,"A1 tacotron, A2 baseline",tacotron,A2 better,0
13,10,"A1 tacotron, A2 baseline",tacotron,A1 better,1
13,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
14,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
14,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
14,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
14,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
14,4,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
14,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
14,6,"A1 tacotron, A2 baseline",tacotron,A1 better,1
14,7,"A1 baseline, A2 fastspeech",fastspeech,equal,0
14,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
14,9,"A1 tacotron, A2 baseline",tacotron,equal,0
14,10,"A1 tacotron, A2 baseline",tacotron,A1 better,1
14,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
15,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
15,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
15,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
15,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
15,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
15,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
15,6,"A1 tacotron, A2 baseline",tacotron,equal,0
15,7,"A1 baseline, A2 fastspeech",fastspeech,equal,0
15,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
15,9,"A1 tacotron, A2 baseline",tacotron,A2 better,0
15,10,"A1 tacotron, A2 baseline",tacotron,equal,0
15,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
16,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
16,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
16,2,"A1 tacotron, A2 baseline",tacotron,equal,0
16,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
16,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
16,5,"A1 tacotron, A2 baseline",tacotron,equal,0
16,6,"A1 tacotron, A2 baseline",tacotron,equal,0
16,7,"A1 baseline, A2 fastspeech",fastspeech,equal,0
16,8,"A1 tacotron, A2 baseline",tacotron,equal,0
16,9,"A1 tacotron, A2 baseline",tacotron,equal,0
16,10,"A1 tacotron, A2 baseline",tacotron,equal,0
16,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
17,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
17,1,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
17,2,"A1 tacotron, A2 baseline",tacotron,equal,0
17,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
17,4,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
17,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
17,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
17,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
17,8,"A1 tacotron, A2 baseline",tacotron,equal,0
17,9,"A1 tacotron, A2 baseline",tacotron,equal,0
17,10,"A1 tacotron, A2 baseline",tacotron,equal,0
17,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
18,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
18,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
18,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
18,3,"A1 baseline, A2 fastspeech",fastspeech,A1 better,0
18,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
18,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
18,6,"A1 tacotron, A2 baseline",tacotron,A1 better,1
18,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
18,8,"A1 tacotron, A2 baseline",tacotron,equal,0
18,9,"A1 tacotron, A2 baseline",tacotron,equal,0
18,10,"A1 tacotron, A2 baseline",tacotron,A1 better,1
18,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
19,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
19,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
19,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
19,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
19,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
19,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
19,6,"A1 tacotron, A2 baseline",tacotron,A1 better,1
19,7,"A1 baseline, A2 fastspeech",fastspeech,A1 better,0
19,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
19,9,"A1 tacotron, A2 baseline",tacotron,A1 better,1
19,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
19,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
20,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
20,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
20,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
20,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
20,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
20,5,"A1 tacotron, A2 baseline",tacotron,equal,0
20,6,"A1 tacotron, A2 baseline",tacotron,equal,0
20,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
20,8,"A1 tacotron, A2 baseline",tacotron,equal,0
20,9,"A1 tacotron, A2 baseline",tacotron,equal,0
20,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
20,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
21,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
21,1,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
21,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
21,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
21,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
21,5,"A1 tacotron, A2 baseline",tacotron,equal,0
21,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
21,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
21,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
21,9,"A1 tacotron, A2 baseline",tacotron,equal,0
21,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
21,11,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
22,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
22,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
22,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
22,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
22,4,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
22,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
22,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
22,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
22,8,"A1 tacotron, A2 baseline",tacotron,A2 better,0
22,9,"A1 tacotron, A2 baseline",tacotron,A2 better,0
22,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
22,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
23,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
23,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
23,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
23,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
23,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
23,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
23,6,"A1 tacotron, A2 baseline",tacotron,equal,0
23,7,"A1 baseline, A2 fastspeech",fastspeech,equal,0
23,8,"A1 tacotron, A2 baseline",tacotron,equal,0
23,9,"A1 tacotron, A2 baseline",tacotron,equal,0
23,10,"A1 tacotron, A2 baseline",tacotron,equal,0
23,11,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
24,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
24,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
24,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
24,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
24,4,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
24,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
24,6,"A1 tacotron, A2 baseline",tacotron,A1 better,1
24,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
24,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
24,9,"A1 tacotron, A2 baseline",tacotron,equal,0
24,10,"A1 tacotron, A2 baseline",tacotron,A1 better,1
24,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
25,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
25,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
25,2,"A1 tacotron, A2 baseline",tacotron,equal,0
25,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
25,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
25,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
25,6,"A1 tacotron, A2 baseline",tacotron,equal,0
25,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
25,8,"A1 tacotron, A2 baseline",tacotron,equal,0
25,9,"A1 tacotron, A2 baseline",tacotron,equal,0
25,10,"A1 tacotron, A2 baseline",tacotron,A2 better,0
25,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
26,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
26,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
26,2,"A1 tacotron, A2 baseline",tacotron,equal,0
26,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
26,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
26,5,"A1 tacotron, A2 baseline",tacotron,equal,0
26,6,"A1 tacotron, A2 baseline",tacotron,equal,0
26,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
26,8,"A1 tacotron, A2 baseline",tacotron,equal,0
26,9,"A1 tacotron, A2 baseline",tacotron,equal,0
26,10,"A1 tacotron, A2 baseline",tacotron,equal,0
26,11,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
27,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
27,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
27,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
27,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
27,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
27,5,"A1 tacotron, A2 baseline",tacotron,equal,0
27,6,"A1 tacotron, A2 baseline",tacotron,A1 better,1
27,7,"A1 baseline, A2 fastspeech",fastspeech,equal,0
27,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
27,9,"A1 tacotron, A2 baseline",tacotron,A2 better,0
27,10,"A1 tacotron, A2 baseline",tacotron,A1 better,1
27,11,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
28,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
28,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
28,2,"A1 tacotron, A2 baseline",tacotron,equal,0
28,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
28,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
28,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
28,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
28,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
28,8,"A1 tacotron, A2 baseline",tacotron,equal,0
28,9,"A1 tacotron, A2 baseline",tacotron,equal,0
28,10,"A1 tacotron, A2 baseline",tacotron,equal,0
28,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
29,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
29,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
29,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
29,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
29,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
29,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
29,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
29,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
29,8,"A1 tacotron, A2 baseline",tacotron,equal,0
29,9,"A1 tacotron, A2 baseline",tacotron,A2 better,0
29,10,"A1 tacotron, A2 baseline",tacotron,equal,0
29,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
30,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
30,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
30,2,"A1 tacotron, A2 baseline",tacotron,A2 better,0
30,3,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
30,4,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
30,5,"A1 tacotron, A2 baseline",tacotron,equal,0
30,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
30,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
30,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
30,9,"A1 tacotron, A2 baseline",tacotron,equal,0
30,10,"A1 tacotron, A2 baseline",tacotron,equal,0
30,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
31,0,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
31,1,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
31,2,"A1 tacotron, A2 baseline",tacotron,equal,0
31,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
31,4,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
31,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
31,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
31,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
31,8,"A1 tacotron, A2 baseline",tacotron,equal,0
31,9,"A1 tacotron, A2 baseline",tacotron,equal,0
31,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
32,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
32,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
32,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
32,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
32,4,"A1 fastspeech, A2 baseline",fastspeech,A2 better,0
32,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
32,6,"A1 tacotron, A2 baseline",tacotron,equal,0
32,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
32,8,"A1 tacotron, A2 baseline",tacotron,A2 better,0
32,9,"A1 tacotron, A2 baseline",tacotron,equal,0
32,10,"A1 tacotron, A2 baseline",tacotron,A1 better,1
32,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
33,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
33,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
33,2,"A1 tacotron, A2 baseline",tacotron,equal,0
33,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
33,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
33,5,"A1 tacotron, A2 baseline",tacotron,A2 better,0
33,6,"A1 tacotron, A2 baseline",tacotron,equal,0
33,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
33,8,"A1 tacotron, A2 baseline",tacotron,A1 better,1
33,9,"A1 tacotron, A2 baseline",tacotron,equal,0
33,10,"A1 tacotron, A2 baseline",tacotron,equal,0
33,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
34,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
34,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
34,2,"A1 tacotron, A2 baseline",tacotron,equal,0
34,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
34,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
34,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
34,6,"A1 tacotron, A2 baseline",tacotron,A1 better,1
34,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
34,8,"A1 tacotron, A2 baseline",tacotron,equal,0
34,9,"A1 tacotron, A2 baseline",tacotron,equal,0
34,10,"A1 tacotron, A2 baseline",tacotron,equal,0
34,11,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
35,0,"A1 fastspeech, A2 baseline",fastspeech,equal,0
35,1,"A1 fastspeech, A2 baseline",fastspeech,equal,0
35,2,"A1 tacotron, A2 baseline",tacotron,A1 better,1
35,3,"A1 baseline, A2 fastspeech",fastspeech,A1 better,0
35,4,"A1 fastspeech, A2 baseline",fastspeech,equal,0
35,5,"A1 tacotron, A2 baseline",tacotron,A1 better,1
35,6,"A1 tacotron, A2 baseline",tacotron,A2 better,0
35,7,"A1 baseline, A2 fastspeech",fastspeech,A2 better,1
35,8,"A1 tacotron, A2 baseline",tacotron,equal,0
35,9,"A1 tacotron, A2 baseline",tacotron,A2 better,0
35,10,"A1 tacotron, A2 baseline",tacotron,equal,0
35,11,"A1 fastspeech, A2 baseline",fastspeech,equal,0
36,0,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
36,1,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
36,2,"A1 tacotron, A2 baseline",tacotron,equal,0
36,3,"A1 baseline, A2 fastspeech",fastspeech,equal,0
36,4,"A1 fastspeech, A2 baseline",fastspeech,A1 better,1
